,opt,sigh,success_rate
0,2,0.0,0.516
1,2,0.01,0.512
2,2,0.02,0.505
3,2,0.03,0.484
4,2,0.04,0.514
5,2,0.05,0.502
6,2,0.06,0.52
7,2,0.07,0.514
8,2,0.08,0.543
9,2,0.09,0.511
10,2,0.1,0.527
11,2,0.11,0.536
12,2,0.12,0.551
13,2,0.13,0.518
14,2,0.14,0.546
15,2,0.15,0.543
16,2,0.16,0.551
17,2,0.17,0.532
18,2,0.18,0.503
19,2,0.19,0.554
20,2,0.2,0.591
21,2,0.21,0.545
22,2,0.22,0.54
23,2,0.23,0.536
24,2,0.24,0.577
25,2,0.25,0.541
26,2,0.26,0.567
27,2,0.27,0.531
28,2,0.28,0.554
29,2,0.29,0.556
30,2,0.3,0.528
31,2,0.31,0.55
32,2,0.32,0.541
33,2,0.33,0.576
34,2,0.34,0.549
35,2,0.35000000000000003,0.554
36,2,0.36,0.547
37,2,0.37,0.577
38,2,0.38,0.546
39,2,0.39,0.574
40,2,0.4,0.542
41,2,0.41000000000000003,0.582
42,2,0.42,0.569
43,2,0.43,0.569
44,2,0.44,0.576
45,2,0.45,0.581
46,2,0.46,0.585
47,2,0.47000000000000003,0.59
48,2,0.48,0.566
49,2,0.49,0.581
50,2,0.5,0.586
51,2,0.51,0.578
52,2,0.52,0.579
53,2,0.53,0.583
54,2,0.54,0.579
55,2,0.55,0.599
56,2,0.56,0.577
57,2,0.5700000000000001,0.606
58,2,0.58,0.601
59,2,0.59,0.611
60,2,0.6,0.6
61,2,0.61,0.584
62,2,0.62,0.595
63,2,0.63,0.636
64,2,0.64,0.615
65,2,0.65,0.595
66,2,0.66,0.574
67,2,0.67,0.604
68,2,0.68,0.603
69,2,0.6900000000000001,0.596
70,2,0.7000000000000001,0.636
71,2,0.71,0.631
72,2,0.72,0.644
73,2,0.73,0.603
74,2,0.74,0.587
75,2,0.75,0.618
76,2,0.76,0.629
77,2,0.77,0.633
78,2,0.78,0.627
79,2,0.79,0.604
80,2,0.8,0.623
81,2,0.81,0.629
82,2,0.8200000000000001,0.659
83,2,0.8300000000000001,0.626
84,2,0.84,0.638
85,2,0.85,0.618
86,2,0.86,0.672
87,2,0.87,0.629
88,2,0.88,0.659
89,2,0.89,0.658
90,2,0.9,0.625
91,2,0.91,0.653
92,2,0.92,0.639
93,2,0.93,0.649
94,2,0.9400000000000001,0.636
95,2,0.9500000000000001,0.669
96,2,0.96,0.641
97,2,0.97,0.658
98,2,0.98,0.675
99,2,0.99,0.667
100,2,1.0,0.699
101,2,1.01,0.669
102,2,1.02,0.637
103,2,1.03,0.662
104,2,1.04,0.66
105,2,1.05,0.677
106,2,1.06,0.692
107,2,1.07,0.681
108,2,1.08,0.656
109,2,1.09,0.7
110,2,1.1,0.652
111,2,1.11,0.714
112,2,1.12,0.69
113,2,1.1300000000000001,0.685
114,2,1.1400000000000001,0.69
115,2,1.1500000000000001,0.684
116,2,1.16,0.68
117,2,1.17,0.669
118,2,1.18,0.685
119,2,1.19,0.654
120,2,1.2,0.658
121,2,1.21,0.683
122,2,1.22,0.706
123,2,1.23,0.707
124,2,1.24,0.669
125,2,1.25,0.683
126,2,1.26,0.708
127,2,1.27,0.696
128,2,1.28,0.698
129,2,1.29,0.68
130,2,1.3,0.723
131,2,1.31,0.689
132,2,1.32,0.695
133,2,1.33,0.69
134,2,1.34,0.711
135,2,1.35,0.719
136,2,1.36,0.725
137,2,1.37,0.72
138,2,1.3800000000000001,0.725
139,2,1.3900000000000001,0.714
140,2,1.4000000000000001,0.714
141,2,1.41,0.744
142,2,1.42,0.739
143,2,1.43,0.737
144,2,1.44,0.717
145,2,1.45,0.712
146,2,1.46,0.737
147,2,1.47,0.718
148,2,1.48,0.718
149,2,1.49,0.748
150,2,1.5,0.758
151,2,1.51,0.744
152,2,1.52,0.732
153,2,1.53,0.751
154,2,1.54,0.736
155,2,1.55,0.736
156,2,1.56,0.741
157,2,1.57,0.748
158,2,1.58,0.747
159,2,1.59,0.746
160,2,1.6,0.748
161,2,1.61,0.741
162,2,1.62,0.748
163,2,1.6300000000000001,0.751
164,2,1.6400000000000001,0.751
165,2,1.6500000000000001,0.756
166,2,1.6600000000000001,0.748
167,2,1.67,0.741
168,2,1.68,0.765
169,2,1.69,0.735
170,2,1.7,0.743
171,2,1.71,0.775
172,2,1.72,0.78
173,2,1.73,0.768
174,2,1.74,0.757
175,2,1.75,0.778
176,2,1.76,0.765
177,2,1.77,0.768
178,2,1.78,0.762
179,2,1.79,0.761
180,2,1.8,0.764
181,2,1.81,0.755
182,2,1.82,0.784
183,2,1.83,0.777
184,2,1.84,0.796
185,2,1.85,0.789
186,2,1.86,0.783
187,2,1.87,0.784
188,2,1.8800000000000001,0.775
189,2,1.8900000000000001,0.775
190,2,1.9000000000000001,0.81
191,2,1.9100000000000001,0.771
192,2,1.92,0.789
193,2,1.93,0.805
194,2,1.94,0.764
195,2,1.95,0.798
196,2,1.96,0.799
197,2,1.97,0.8
198,2,1.98,0.794
199,2,1.99,0.791
200,2,2.0,0.817
201,10,0.0,0.097
202,10,0.01,0.11
203,10,0.02,0.117
204,10,0.03,0.086
205,10,0.04,0.095
206,10,0.05,0.116
207,10,0.06,0.096
208,10,0.07,0.092
209,10,0.08,0.115
210,10,0.09,0.121
211,10,0.1,0.113
212,10,0.11,0.091
213,10,0.12,0.104
214,10,0.13,0.102
215,10,0.14,0.098
216,10,0.15,0.103
217,10,0.16,0.094
218,10,0.17,0.106
219,10,0.18,0.111
220,10,0.19,0.109
221,10,0.2,0.105
222,10,0.21,0.098
223,10,0.22,0.12
224,10,0.23,0.119
225,10,0.24,0.11
226,10,0.25,0.112
227,10,0.26,0.105
228,10,0.27,0.094
229,10,0.28,0.096
230,10,0.29,0.115
231,10,0.3,0.113
232,10,0.31,0.116
233,10,0.32,0.114
234,10,0.33,0.114
235,10,0.34,0.119
236,10,0.35000000000000003,0.113
237,10,0.36,0.099
238,10,0.37,0.104
239,10,0.38,0.093
240,10,0.39,0.119
241,10,0.4,0.108
242,10,0.41000000000000003,0.122
243,10,0.42,0.142
244,10,0.43,0.133
245,10,0.44,0.12
246,10,0.45,0.112
247,10,0.46,0.122
248,10,0.47000000000000003,0.137
249,10,0.48,0.133
250,10,0.49,0.122
251,10,0.5,0.112
252,10,0.51,0.112
253,10,0.52,0.122
254,10,0.53,0.121
255,10,0.54,0.134
256,10,0.55,0.125
257,10,0.56,0.107
258,10,0.5700000000000001,0.112
259,10,0.58,0.126
260,10,0.59,0.118
261,10,0.6,0.128
262,10,0.61,0.126
263,10,0.62,0.115
264,10,0.63,0.142
265,10,0.64,0.112
266,10,0.65,0.116
267,10,0.66,0.135
268,10,0.67,0.123
269,10,0.68,0.124
270,10,0.6900000000000001,0.14
271,10,0.7000000000000001,0.127
272,10,0.71,0.132
273,10,0.72,0.128
274,10,0.73,0.107
275,10,0.74,0.147
276,10,0.75,0.129
277,10,0.76,0.129
278,10,0.77,0.135
279,10,0.78,0.136
280,10,0.79,0.135
281,10,0.8,0.127
282,10,0.81,0.12
283,10,0.8200000000000001,0.135
284,10,0.8300000000000001,0.14
285,10,0.84,0.142
286,10,0.85,0.143
287,10,0.86,0.142
288,10,0.87,0.138
289,10,0.88,0.146
290,10,0.89,0.148
291,10,0.9,0.139
292,10,0.91,0.13
293,10,0.92,0.153
294,10,0.93,0.124
295,10,0.9400000000000001,0.151
296,10,0.9500000000000001,0.145
297,10,0.96,0.128
298,10,0.97,0.143
299,10,0.98,0.148
300,10,0.99,0.143
301,10,1.0,0.157
302,10,1.01,0.148
303,10,1.02,0.15
304,10,1.03,0.141
305,10,1.04,0.144
306,10,1.05,0.13
307,10,1.06,0.137
308,10,1.07,0.155
309,10,1.08,0.154
310,10,1.09,0.163
311,10,1.1,0.154
312,10,1.11,0.158
313,10,1.12,0.147
314,10,1.1300000000000001,0.153
315,10,1.1400000000000001,0.142
316,10,1.1500000000000001,0.164
317,10,1.16,0.143
318,10,1.17,0.167
319,10,1.18,0.161
320,10,1.19,0.154
321,10,1.2,0.15
322,10,1.21,0.157
323,10,1.22,0.143
324,10,1.23,0.157
325,10,1.24,0.165
326,10,1.25,0.163
327,10,1.26,0.179
328,10,1.27,0.181
329,10,1.28,0.176
330,10,1.29,0.175
331,10,1.3,0.167
332,10,1.31,0.158
333,10,1.32,0.174
334,10,1.33,0.167
335,10,1.34,0.185
336,10,1.35,0.163
337,10,1.36,0.183
338,10,1.37,0.184
339,10,1.3800000000000001,0.18
340,10,1.3900000000000001,0.17
341,10,1.4000000000000001,0.175
342,10,1.41,0.174
343,10,1.42,0.179
344,10,1.43,0.195
345,10,1.44,0.18
346,10,1.45,0.212
347,10,1.46,0.188
348,10,1.47,0.179
349,10,1.48,0.203
350,10,1.49,0.164
351,10,1.5,0.197
352,10,1.51,0.189
353,10,1.52,0.194
354,10,1.53,0.18
355,10,1.54,0.17
356,10,1.55,0.195
357,10,1.56,0.181
358,10,1.57,0.198
359,10,1.58,0.196
360,10,1.59,0.18
361,10,1.6,0.209
362,10,1.61,0.174
363,10,1.62,0.178
364,10,1.6300000000000001,0.21
365,10,1.6400000000000001,0.187
366,10,1.6500000000000001,0.196
367,10,1.6600000000000001,0.188
368,10,1.67,0.215
369,10,1.68,0.209
370,10,1.69,0.181
371,10,1.7,0.203
372,10,1.71,0.196
373,10,1.72,0.216
374,10,1.73,0.219
375,10,1.74,0.209
376,10,1.75,0.213
377,10,1.76,0.223
378,10,1.77,0.247
379,10,1.78,0.233
380,10,1.79,0.221
381,10,1.8,0.211
382,10,1.81,0.211
383,10,1.82,0.217
384,10,1.83,0.234
385,10,1.84,0.219
386,10,1.85,0.237
387,10,1.86,0.229
388,10,1.87,0.234
389,10,1.8800000000000001,0.215
390,10,1.8900000000000001,0.25
391,10,1.9000000000000001,0.237
392,10,1.9100000000000001,0.235
393,10,1.92,0.241
394,10,1.93,0.242
395,10,1.94,0.225
396,10,1.95,0.226
397,10,1.96,0.234
398,10,1.97,0.226
399,10,1.98,0.25
400,10,1.99,0.262
401,10,2.0,0.257
402,40,0.0,0.023
403,40,0.01,0.031
404,40,0.02,0.03
405,40,0.03,0.016
406,40,0.04,0.028
407,40,0.05,0.028
408,40,0.06,0.024
409,40,0.07,0.02
410,40,0.08,0.021
411,40,0.09,0.016
412,40,0.1,0.029
413,40,0.11,0.026
414,40,0.12,0.026
415,40,0.13,0.028
416,40,0.14,0.024
417,40,0.15,0.026
418,40,0.16,0.026
419,40,0.17,0.021
420,40,0.18,0.017
421,40,0.19,0.028
422,40,0.2,0.031
423,40,0.21,0.022
424,40,0.22,0.02
425,40,0.23,0.026
426,40,0.24,0.025
427,40,0.25,0.029
428,40,0.26,0.021
429,40,0.27,0.023
430,40,0.28,0.024
431,40,0.29,0.027
432,40,0.3,0.023
433,40,0.31,0.025
434,40,0.32,0.033
435,40,0.33,0.026
436,40,0.34,0.024
437,40,0.35000000000000003,0.034
438,40,0.36,0.025
439,40,0.37,0.032
440,40,0.38,0.025
441,40,0.39,0.028
442,40,0.4,0.028
443,40,0.41000000000000003,0.028
444,40,0.42,0.017
445,40,0.43,0.024
446,40,0.44,0.027
447,40,0.45,0.03
448,40,0.46,0.037
449,40,0.47000000000000003,0.032
450,40,0.48,0.033
451,40,0.49,0.026
452,40,0.5,0.029
453,40,0.51,0.037
454,40,0.52,0.031
455,40,0.53,0.033
456,40,0.54,0.034
457,40,0.55,0.034
458,40,0.56,0.038
459,40,0.5700000000000001,0.022
460,40,0.58,0.024
461,40,0.59,0.016
462,40,0.6,0.03
463,40,0.61,0.039
464,40,0.62,0.03
465,40,0.63,0.036
466,40,0.64,0.029
467,40,0.65,0.037
468,40,0.66,0.032
469,40,0.67,0.029
470,40,0.68,0.03
471,40,0.6900000000000001,0.032
472,40,0.7000000000000001,0.031
473,40,0.71,0.025
474,40,0.72,0.027
475,40,0.73,0.04
476,40,0.74,0.04
477,40,0.75,0.026
478,40,0.76,0.041
479,40,0.77,0.025
480,40,0.78,0.036
481,40,0.79,0.024
482,40,0.8,0.041
483,40,0.81,0.031
484,40,0.8200000000000001,0.034
485,40,0.8300000000000001,0.039
486,40,0.84,0.032
487,40,0.85,0.038
488,40,0.86,0.031
489,40,0.87,0.032
490,40,0.88,0.026
491,40,0.89,0.028
492,40,0.9,0.045
493,40,0.91,0.039
494,40,0.92,0.034
495,40,0.93,0.032
496,40,0.9400000000000001,0.04
497,40,0.9500000000000001,0.034
498,40,0.96,0.036
499,40,0.97,0.037
500,40,0.98,0.035
501,40,0.99,0.04
502,40,1.0,0.036
503,40,1.01,0.038
504,40,1.02,0.042
505,40,1.03,0.041
506,40,1.04,0.031
507,40,1.05,0.032
508,40,1.06,0.029
509,40,1.07,0.032
510,40,1.08,0.046
511,40,1.09,0.034
512,40,1.1,0.048
513,40,1.11,0.035
514,40,1.12,0.034
515,40,1.1300000000000001,0.038
516,40,1.1400000000000001,0.04
517,40,1.1500000000000001,0.037
518,40,1.16,0.038
519,40,1.17,0.049
520,40,1.18,0.038
521,40,1.19,0.046
522,40,1.2,0.044
523,40,1.21,0.042
524,40,1.22,0.041
525,40,1.23,0.045
526,40,1.24,0.034
527,40,1.25,0.034
528,40,1.26,0.043
529,40,1.27,0.047
530,40,1.28,0.039
531,40,1.29,0.06
532,40,1.3,0.042
533,40,1.31,0.036
534,40,1.32,0.041
535,40,1.33,0.051
536,40,1.34,0.047
537,40,1.35,0.035
538,40,1.36,0.047
539,40,1.37,0.044
540,40,1.3800000000000001,0.048
541,40,1.3900000000000001,0.042
542,40,1.4000000000000001,0.042
543,40,1.41,0.041
544,40,1.42,0.055
545,40,1.43,0.054
546,40,1.44,0.045
547,40,1.45,0.05
548,40,1.46,0.048
549,40,1.47,0.05
550,40,1.48,0.043
551,40,1.49,0.049
552,40,1.5,0.044
553,40,1.51,0.044
554,40,1.52,0.042
555,40,1.53,0.065
556,40,1.54,0.04
557,40,1.55,0.047
558,40,1.56,0.045
559,40,1.57,0.042
560,40,1.58,0.06
561,40,1.59,0.045
562,40,1.6,0.051
563,40,1.61,0.044
564,40,1.62,0.038
565,40,1.6300000000000001,0.042
566,40,1.6400000000000001,0.061
567,40,1.6500000000000001,0.052
568,40,1.6600000000000001,0.058
569,40,1.67,0.064
570,40,1.68,0.052
571,40,1.69,0.056
572,40,1.7,0.048
573,40,1.71,0.051
574,40,1.72,0.049
575,40,1.73,0.052
576,40,1.74,0.048
577,40,1.75,0.054
578,40,1.76,0.051
579,40,1.77,0.044
580,40,1.78,0.061
581,40,1.79,0.068
582,40,1.8,0.049
583,40,1.81,0.069
584,40,1.82,0.051
585,40,1.83,0.057
586,40,1.84,0.06
587,40,1.85,0.055
588,40,1.86,0.072
589,40,1.87,0.06
590,40,1.8800000000000001,0.057
591,40,1.8900000000000001,0.054
592,40,1.9000000000000001,0.06
593,40,1.9100000000000001,0.054
594,40,1.92,0.057
595,40,1.93,0.066
596,40,1.94,0.074
597,40,1.95,0.044
598,40,1.96,0.069
599,40,1.97,0.075
600,40,1.98,0.064
601,40,1.99,0.058
602,40,2.0,0.067
603,60,0.0,0.014
604,60,0.01,0.018
605,60,0.02,0.017
606,60,0.03,0.019
607,60,0.04,0.016
608,60,0.05,0.018
609,60,0.06,0.011
610,60,0.07,0.024
611,60,0.08,0.017
612,60,0.09,0.012
613,60,0.1,0.019
614,60,0.11,0.016
615,60,0.12,0.019
616,60,0.13,0.011
617,60,0.14,0.021
618,60,0.15,0.018
619,60,0.16,0.019
620,60,0.17,0.016
621,60,0.18,0.023
622,60,0.19,0.02
623,60,0.2,0.018
624,60,0.21,0.015
625,60,0.22,0.017
626,60,0.23,0.017
627,60,0.24,0.022
628,60,0.25,0.016
629,60,0.26,0.018
630,60,0.27,0.021
631,60,0.28,0.023
632,60,0.29,0.029
633,60,0.3,0.015
634,60,0.31,0.009
635,60,0.32,0.025
636,60,0.33,0.025
637,60,0.34,0.018
638,60,0.35000000000000003,0.017
639,60,0.36,0.018
640,60,0.37,0.01
641,60,0.38,0.013
642,60,0.39,0.024
643,60,0.4,0.016
644,60,0.41000000000000003,0.024
645,60,0.42,0.014
646,60,0.43,0.019
647,60,0.44,0.017
648,60,0.45,0.018
649,60,0.46,0.012
650,60,0.47000000000000003,0.018
651,60,0.48,0.026
652,60,0.49,0.023
653,60,0.5,0.019
654,60,0.51,0.013
655,60,0.52,0.019
656,60,0.53,0.021
657,60,0.54,0.017
658,60,0.55,0.024
659,60,0.56,0.021
660,60,0.5700000000000001,0.023
661,60,0.58,0.025
662,60,0.59,0.018
663,60,0.6,0.022
664,60,0.61,0.019
665,60,0.62,0.019
666,60,0.63,0.023
667,60,0.64,0.023
668,60,0.65,0.016
669,60,0.66,0.017
670,60,0.67,0.015
671,60,0.68,0.02
672,60,0.6900000000000001,0.014
673,60,0.7000000000000001,0.029
674,60,0.71,0.017
675,60,0.72,0.017
676,60,0.73,0.018
677,60,0.74,0.016
678,60,0.75,0.023
679,60,0.76,0.017
680,60,0.77,0.018
681,60,0.78,0.032
682,60,0.79,0.028
683,60,0.8,0.024
684,60,0.81,0.023
685,60,0.8200000000000001,0.031
686,60,0.8300000000000001,0.02
687,60,0.84,0.026
688,60,0.85,0.029
689,60,0.86,0.023
690,60,0.87,0.022
691,60,0.88,0.024
692,60,0.89,0.021
693,60,0.9,0.023
694,60,0.91,0.024
695,60,0.92,0.025
696,60,0.93,0.026
697,60,0.9400000000000001,0.019
698,60,0.9500000000000001,0.02
699,60,0.96,0.018
700,60,0.97,0.026
701,60,0.98,0.015
702,60,0.99,0.025
703,60,1.0,0.028
704,60,1.01,0.022
705,60,1.02,0.015
706,60,1.03,0.024
707,60,1.04,0.03
708,60,1.05,0.021
709,60,1.06,0.029
710,60,1.07,0.023
711,60,1.08,0.036
712,60,1.09,0.026
713,60,1.1,0.039
714,60,1.11,0.027
715,60,1.12,0.021
716,60,1.1300000000000001,0.018
717,60,1.1400000000000001,0.028
718,60,1.1500000000000001,0.029
719,60,1.16,0.026
720,60,1.17,0.04
721,60,1.18,0.036
722,60,1.19,0.03
723,60,1.2,0.028
724,60,1.21,0.039
725,60,1.22,0.029
726,60,1.23,0.027
727,60,1.24,0.029
728,60,1.25,0.025
729,60,1.26,0.022
730,60,1.27,0.037
731,60,1.28,0.028
732,60,1.29,0.032
733,60,1.3,0.024
734,60,1.31,0.031
735,60,1.32,0.025
736,60,1.33,0.02
737,60,1.34,0.027
738,60,1.35,0.027
739,60,1.36,0.031
740,60,1.37,0.035
741,60,1.3800000000000001,0.036
742,60,1.3900000000000001,0.036
743,60,1.4000000000000001,0.032
744,60,1.41,0.034
745,60,1.42,0.037
746,60,1.43,0.034
747,60,1.44,0.033
748,60,1.45,0.026
749,60,1.46,0.034
750,60,1.47,0.021
751,60,1.48,0.028
752,60,1.49,0.042
753,60,1.5,0.037
754,60,1.51,0.037
755,60,1.52,0.036
756,60,1.53,0.032
757,60,1.54,0.033
758,60,1.55,0.037
759,60,1.56,0.026
760,60,1.57,0.038
761,60,1.58,0.036
762,60,1.59,0.052
763,60,1.6,0.023
764,60,1.61,0.029
765,60,1.62,0.038
766,60,1.6300000000000001,0.038
767,60,1.6400000000000001,0.038
768,60,1.6500000000000001,0.028
769,60,1.6600000000000001,0.023
770,60,1.67,0.038
771,60,1.68,0.035
772,60,1.69,0.028
773,60,1.7,0.047
774,60,1.71,0.03
775,60,1.72,0.046
776,60,1.73,0.041
777,60,1.74,0.034
778,60,1.75,0.043
779,60,1.76,0.042
780,60,1.77,0.037
781,60,1.78,0.04
782,60,1.79,0.038
783,60,1.8,0.035
784,60,1.81,0.035
785,60,1.82,0.045
786,60,1.83,0.053
787,60,1.84,0.04
788,60,1.85,0.032
789,60,1.86,0.039
790,60,1.87,0.034
791,60,1.8800000000000001,0.05
792,60,1.8900000000000001,0.033
793,60,1.9000000000000001,0.05
794,60,1.9100000000000001,0.037
795,60,1.92,0.032
796,60,1.93,0.049
797,60,1.94,0.051
798,60,1.95,0.046
799,60,1.96,0.054
800,60,1.97,0.048
801,60,1.98,0.048
802,60,1.99,0.045
803,60,2.0,0.043
