,maj,q_not_reached,quo,sigm,success_rate
0,0.103,1.0,1,0,0.0
1,0.109,1.0,2,0,0.0
2,0.102,1.0,3,0,0.0
3,0.103,1.0,4,0,0.0
4,0.109,1.0,5,0,0.0
5,0.102,1.0,6,0,0.0
6,0.103,1.0,7,0,0.0
7,0.109,1.0,8,0,0.0
8,0.102,1.0,9,0,0.0
9,0.103,1.0,10,0,0.0
10,0.109,1.0,11,0,0.0
11,0.102,1.0,12,0,0.0
12,0.103,1.0,13,0,0.0
13,0.109,1.0,14,0,0.0
14,0.102,1.0,15,0,0.0
15,0.103,1.0,16,0,0.0
16,0.109,1.0,17,0,0.0
17,0.102,1.0,18,0,0.0
18,0.103,1.0,19,0,0.0
19,0.109,1.0,20,0,0.0
20,0.102,1.0,21,0,0.0
21,0.103,1.0,22,0,0.0
22,0.109,1.0,23,0,0.0
23,0.102,1.0,24,0,0.0
24,0.103,1.0,25,0,0.0
25,0.109,1.0,26,0,0.0
26,0.102,1.0,27,0,0.0
27,0.103,1.0,28,0,0.0
28,0.109,1.0,29,0,0.0
29,0.102,1.0,30,0,0.0
30,0.103,1.0,31,0,0.0
31,0.109,1.0,32,0,0.0
32,0.102,1.0,33,0,0.0
33,0.103,1.0,34,0,0.0
34,0.109,1.0,35,0,0.0
35,0.102,1.0,36,0,0.0
36,0.103,1.0,37,0,0.0
37,0.109,1.0,38,0,0.0
38,0.102,1.0,39,0,0.0
39,0.103,1.0,40,0,0.0
40,0.109,1.0,41,0,0.0
41,0.102,1.0,42,0,0.0
42,0.103,1.0,43,0,0.0
43,0.109,1.0,44,0,0.0
44,0.102,1.0,45,0,0.0
45,0.103,1.0,46,0,0.0
46,0.109,1.0,47,0,0.0
47,0.102,1.0,48,0,0.0
48,0.103,1.0,49,0,0.0
49,0.109,1.0,50,0,0.0
50,0.102,1.0,51,0,0.0
51,0.103,1.0,52,0,0.0
52,0.109,1.0,53,0,0.0
53,0.102,1.0,54,0,0.0
54,0.103,1.0,55,0,0.0
55,0.109,1.0,56,0,0.0
56,0.102,1.0,57,0,0.0
57,0.103,1.0,58,0,0.0
58,0.109,1.0,59,0,0.0
59,0.102,1.0,60,0,0.0
60,0.105,1.0,61,0,0.0
61,0.11,1.0,62,0,0.0
62,0.102,1.0,63,0,0.0
63,0.105,1.0,64,0,0.0
64,0.11,1.0,65,0,0.0
65,0.102,1.0,66,0,0.0
66,0.105,1.0,67,0,0.0
67,0.11,1.0,68,0,0.0
68,0.102,1.0,69,0,0.0
69,0.105,1.0,70,0,0.0
70,0.11,1.0,71,0,0.0
71,0.102,1.0,72,0,0.0
72,0.105,1.0,73,0,0.0
73,0.11,1.0,74,0,0.0
74,0.102,1.0,75,0,0.0
75,0.105,1.0,76,0,0.0
76,0.11,1.0,77,0,0.0
77,0.102,1.0,78,0,0.0
78,0.105,1.0,79,0,0.0
79,0.11,1.0,80,0,0.0
80,0.102,1.0,81,0,0.0
81,0.105,1.0,82,0,0.0
82,0.11,1.0,83,0,0.0
83,0.102,1.0,84,0,0.0
84,0.105,1.0,85,0,0.0
85,0.11,1.0,86,0,0.0
86,0.102,1.0,87,0,0.0
87,0.105,1.0,88,0,0.0
88,0.11,1.0,89,0,0.0
89,0.102,1.0,90,0,0.0
90,0.105,1.0,91,0,0.0
91,0.11,1.0,92,0,0.0
92,0.102,1.0,93,0,0.0
93,0.105,1.0,94,0,0.0
94,0.11,1.0,95,0,0.0
95,0.102,1.0,96,0,0.0
96,0.105,1.0,97,0,0.0
97,0.11,1.0,98,0,0.0
98,0.102,1.0,99,0,0.0
99,0.105,1.0,100,0,0.0
100,0.553,0.0,1,30,0.231
101,0.562,0.0,2,30,0.314
102,0.558,0.0,3,30,0.414
103,0.565,0.0,4,30,0.454
104,0.538,0.0,5,30,0.531
105,0.586,0.0,6,30,0.554
106,0.588,0.0,7,30,0.602
107,0.57,0.0,8,30,0.6
108,0.57,0.0,9,30,0.611
109,0.591,0.0,10,30,0.655
110,0.559,0.001,11,30,0.633
111,0.554,0.001,12,30,0.649
112,0.582,0.0,13,30,0.677
113,0.559,0.004,14,30,0.655
114,0.53,0.006,15,30,0.643
115,0.557,0.01,16,30,0.63
116,0.543,0.019,17,30,0.585
117,0.557,0.025,18,30,0.529
118,0.551,0.037,19,30,0.483
119,0.538,0.059,20,30,0.409
120,0.527,0.074,21,30,0.336
121,0.571,0.101,22,30,0.251
122,0.565,0.15,23,30,0.184
123,0.573,0.19,24,30,0.133
124,0.559,0.26,25,30,0.071
125,0.559,0.341,26,30,0.068
126,0.592,0.359,27,30,0.044
127,0.591,0.475,28,30,0.03
128,0.559,0.563,29,30,0.021
129,0.582,0.641,30,30,0.021
130,0.578,0.711,31,30,0.012
131,0.569,0.756,32,30,0.013
132,0.582,0.829,33,30,0.013
133,0.578,0.865,34,30,0.007
134,0.569,0.9,35,30,0.002
135,0.582,0.927,36,30,0.003
136,0.578,0.953,37,30,0.002
137,0.569,0.961,38,30,0.002
138,0.582,0.977,39,30,0.0
139,0.578,0.985,40,30,0.0
140,0.569,0.988,41,30,0.0
141,0.582,0.992,42,30,0.0
142,0.578,0.996,43,30,0.0
143,0.569,0.997,44,30,0.0
144,0.582,0.998,45,30,0.0
145,0.578,1.0,46,30,0.0
146,0.569,1.0,47,30,0.0
147,0.582,0.999,48,30,0.0
148,0.578,1.0,49,30,0.0
149,0.569,1.0,50,30,0.0
150,0.582,1.0,51,30,0.0
151,0.578,1.0,52,30,0.0
152,0.569,1.0,53,30,0.0
153,0.582,1.0,54,30,0.0
154,0.578,1.0,55,30,0.0
155,0.569,1.0,56,30,0.0
156,0.582,1.0,57,30,0.0
157,0.578,1.0,58,30,0.0
158,0.569,1.0,59,30,0.0
159,0.549,1.0,60,30,0.0
160,0.556,1.0,61,30,0.0
161,0.568,1.0,62,30,0.0
162,0.559,1.0,63,30,0.0
163,0.563,1.0,64,30,0.0
164,0.546,1.0,65,30,0.0
165,0.558,1.0,66,30,0.0
166,0.562,1.0,67,30,0.0
167,0.548,1.0,68,30,0.0
168,0.555,1.0,69,30,0.0
169,0.561,1.0,70,30,0.0
170,0.547,1.0,71,30,0.0
171,0.555,1.0,72,30,0.0
172,0.562,1.0,73,30,0.0
173,0.546,1.0,74,30,0.0
174,0.568,1.0,75,30,0.0
175,0.562,1.0,76,30,0.0
176,0.547,1.0,77,30,0.0
177,0.55,1.0,78,30,0.0
178,0.562,1.0,79,30,0.0
179,0.546,1.0,80,30,0.0
180,0.536,1.0,81,30,0.0
181,0.577,1.0,82,30,0.0
182,0.532,1.0,83,30,0.0
183,0.545,1.0,84,30,0.0
184,0.576,1.0,85,30,0.0
185,0.532,1.0,86,30,0.0
186,0.544,1.0,87,30,0.0
187,0.578,1.0,88,30,0.0
188,0.531,1.0,89,30,0.0
189,0.544,1.0,90,30,0.0
190,0.578,1.0,91,30,0.0
191,0.531,1.0,92,30,0.0
192,0.544,1.0,93,30,0.0
193,0.578,1.0,94,30,0.0
194,0.531,1.0,95,30,0.0
195,0.544,1.0,96,30,0.0
196,0.578,1.0,97,30,0.0
197,0.531,1.0,98,30,0.0
198,0.544,1.0,99,30,0.0
199,0.578,1.0,100,30,0.0
